raw_compound,KD_M,reference_date,compound_id,smiles,smiles_source,pKD
CF-2-55,0.0004047029218144512,20200928,CF-2-55,O=C1N(C2=CC=CC=C2)CC(C(N3CCN(C(C)=O)CC3)=O)C1,id_with_smiles,3.3928636601418836
CF-2-70,0.00047172934537853816,20200928,CF-2-70,O=C1N(C2=C(F)C=CC=C2)CC(C(N3CCOCC3)=O)C1,id_with_smiles,3.326307106286514
CF-2-73,,20200928,CF-2-73,O=C1N(C2=C(Cl)C=CC=C2)CC(C(NC3CCN(C)CC3)=O)C1,id_with_smiles,
CF-3-39,,20200928,CF-3-39,CC1=CC=C(OC)C(NC(NCCC2=CC=CC=C2)=O)=C1,id_with_smiles,
CF-3-41,,20200928,CF-3-41,COC1=CC=C(C)C=C1NC(CNS(=O)(CC2=CC=CC=C2)=O)=O,id_with_smiles,
CF-4-06,,20200928,CF-4-06,FC1=CC(Cl)=CN=C1N(C)[C@@H](C)CO,id_with_smiles,
CF-4-16,,20200928,CF-4-16,FC1=CC(Cl)=CN=C1NC[C@@H](O)C2=CC=CC=C2,id_with_smiles,
CF-4-31,,20200928,CF-4-31,O=C(NC)C1=CN=C(N(C)[C@@H](C)CO)N=C1,id_with_smiles,
CF-4-42,6.145778250686623e-05,20200928,CF-4-42,O=C(NCC1=CC=CC=C1)C2=CN=C(N[C@@H](C)CO)C=N2,id_with_smiles,4.2114231138226526
CF-4-57,0.006711549633610144,20200928,CF-4-57,OC[C@H](C)NC1=NC2=C(C=C(Br)C=C2)C=C1,id_with_smiles,2.17317719374673
CF-4-58,0.0004696493221236778,20200928,CF-4-58,OCC(CO)NC1=NC2=C(C=C(Br)C=C2)C=C1,id_with_smiles,3.3282263001732644
CF-5-83,0.00036961259202277803,20200928,CF-5-83,CC(NC(C=C1)=CC=C1N(CCN(C)C)C2=NC=CC=N2)=O,id_with_smiles,3.4322532415838194
CF-5-85,4.05911487132337e-05,20200928,CF-5-85,CC(NC(C=C1)=CC=C1N(CC2=CC=CC=C2)C3=NC=CC=N3)=O,id_with_smiles,4.3915686581490965
CF-5-113,0.00026339609160245977,20200928,CF-5-113,CC(NC(C=C1)=CC=C1N2C3=C(CCNC3)C4=C2C=CC=C4)=O,id_with_smiles,3.5793906735962477
CF-6-27,0.0009930322892081056,20200928,CF-6-27,O=C(O)C1CN(C(C2=CC=CC(C)=C2)=O)C3=CC=CC=C31,id_with_smiles,3.0030366298561617
CF-6-43,0.0004407617764494129,20200928,CF-6-43,O=C(O)C1CN(C(C2=CC(Cl)=CC(OC)=C2)=O)C3=CC=CC=C31,id_with_smiles,3.3557960752199714
CF-6-67,0.0003039592710092095,20200928,CF-6-67,O=C(O)C1CN(C(C2CCN(C(C)=O)CC2)=O)C3=CC=CC=C31,id_with_smiles,3.517184605736565
CF-6-69,0.00013122369195133057,20200928,CF-6-69,O=C(O)C1CN(C(CC2CCN(C(C)=O)CC2)=O)C3=CC=CC=C31,id_with_smiles,3.8819877476217424
