pocket,query_pdb,query_ligand,query_smiles,hit_smiles,hit_inchikey,similarity,price_usd,supplier_risk,chemistry_risk,all_pockets,mw,logp,hbd,hba,heavy_atoms,num_rings,max_fused_rings,pains,bad_motifs,fused_benzene_rings
A,5QS5,NZJ,Cc1cccc(c1)C(=O)N2CCC(CC2)C(=O)N,Cc1cccc(-c2cccc(C(=O)N3CC[C@@H](C(N)=O)C3)c2)c1,ALOLVVVIEKUSTG-QGZVFWFLSA-N,0.7142857313156128,125,low,,A,308.15247788,2.609420000000001,1,2,23,3,1,False,,1
A,5QS9,O0J,CC(=O)Nc1ccc(cc1)c2csc(n2)N,Nc1nc(-c2ccc(-c3ccc(NC(=O)Nc4ccccc4)cc3)cc2)cs1,DVFQRSFIXXSKDG-UHFFFAOYSA-N,0.7105262875556946,1620,low,,A,386.12013219600004,5.703300000000002,3,4,28,4,1,False,,1
A,5QRQ,NXS,c1cnc(nc1)N2CCC(CC2)CO,OCC1CCN(c2ncc(I)cn2)CC1,KJUMPNSIEINPHU-UHFFFAOYSA-N,0.7096773982048035,125,low,,A,319.01816006800004,1.2898999999999998,1,4,15,2,1,False,,1
A,5QRY,NZD,CN1CCN(CC1)C(=O)Nc2ccccc2,CN1CCCN(C(=O)Nc2ccc(N(c3ccccc3)c3ccccc3)cc2)CC1,QZIUVFXSKVRVRX-UHFFFAOYSA-N,0.7027027010917664,375,low,,A,400.226311516,5.3258000000000045,1,3,30,4,1,False,,1
A,5QS9,O0J,CC(=O)Nc1ccc(cc1)c2csc(n2)N,Cc1ccc(NC(=O)c2ccc(-c3csc(N)n3)cc2)cc1,DCAZFAKTJADHHU-UHFFFAOYSA-N,0.699999988079071,375,low,,A,309.0935831,3.9530200000000013,2,4,22,3,1,False,,1
A,5QRG,JHP,Cn1cc(c(n1)C(=O)NC2CCCC2)Cl,Cn1cc(I)c(C(=O)NC2CCCC2)n1,XBTAIFSSMOXOSF-UHFFFAOYSA-N,0.692307710647583,125,low,,A,319.01816006800004,1.6971,1,2,15,2,1,False,,0
A,5QS5,NZJ,Cc1cccc(c1)C(=O)N2CCC(CC2)C(=O)N,Cc1cccc(-c2cccc(C(=O)N3CCC(C(N)=S)CC3)c2)c1,RZADJRJUNHEKKA-UHFFFAOYSA-N,0.6904761791229248,125,low,,A,338.145284324,3.800320000000002,1,2,24,3,1,False,,1
A,5QSD,O0S,CC(=O)Nc1ccc(cc1)Oc2ncccn2,CC(=O)NCCCNC(=O)Nc1ccc(Oc2ncccn2)cc1,SBUDOGGSPYLYKH-UHFFFAOYSA-N,0.6829268336296082,375,low,,A,329.148789468,1.9165999999999994,3,5,24,2,1,False,,1
A,5QRG,JHP,Cn1cc(c(n1)C(=O)NC2CCCC2)Cl,Cn1cc(I)c(C(=O)NC2CCC2)n1,OFRQYIPHUDZLJH-UHFFFAOYSA-N,0.675000011920929,125,low,,A,305.00251000400004,1.307,1,2,14,2,1,False,,0
A,5QRG,JHP,Cn1cc(c(n1)C(=O)NC2CCCC2)Cl,Cn1cc(I)c(C(=O)NC2CCCCC2)n1,MHIDXHJTKVBJGI-UHFFFAOYSA-N,0.675000011920929,125,low,,A,333.03381013200004,2.0872,1,2,16,2,1,False,,0
